Price,Distance,Year
1480000,2.5,2016
1035000,2.5,2016
1465000,2.5,2017
850000,2.5,2017
1600000,2.5,2016
941000,2.5,2016
1876000,2.5,2016
1636000,2.5,2016
300000,2.5,2016
1097000,2.5,2016
700000,2.5,2016
1350000,2.5,2016
750000,2.5,2016
1172500,2.5,2016
441000,2.5,2016
1310000,2.5,2016
1200000,2.5,2016
1176500,2.5,2016
955000,2.5,2016
890000,2.5,2016
1330000,2.5,2017
900000,2.5,2017
1090000,2.5,2017
500000,2.5,2016
1100000,2.5,2016
1315000,2.5,2016
426000,2.5,2016
1447500,2.5,2016
457000,2.5,2016
1135000,2.5,2016
1542000,2.5,2016
1290000,2.5,2017
1290000,2.5,2017
470000,2.5,2016
1180000,2.5,2016
1195000,2.5,2016
1012500,2.5,2016
1030000,2.5,2016
840000,13.5,2016
730000,13.5,2016
770000,13.5,2017
603000,13.5,2017
700000,13.5,2017
600000,13.5,2017
500000,13.5,2017
720000,13.5,2016
785000,13.5,2016
725000,13.5,2016
450000,13.5,2016
515000,13.5,2016
530000,13.5,2016
895000,13.5,2016
805000,13.5,2016
752000,13.5,2017
440000,13.5,2016
755000,13.5,2016
700000,13.5,2016
830000,13.5,2016
462500,13.5,2016
670000,13.5,2016
675000,13.5,2016
1042000,13.5,2016
910000,13.5,2016
773000,13.5,2016
810000,13.5,2017
715000,13.5,2017
790000,13.5,2017
540000,13.5,2016
825000,13.5,2016
685000,13.5,2016
805000,13.5,2016
510000,13.5,2016
612000,13.5,2016
662000,13.5,2016
978000,13.5,2016
720000,13.5,2017
765000,13.5,2016
900000,13.5,2016
1275000,3.3,2016
1455000,3.3,2016
2850000,3.3,2017
1850000,3.3,2017
1436000,3.3,2017
1110000,3.3,2016
1550000,3.3,2016
2300000,3.3,2016
1550000,3.3,2016
1800000,3.3,2016
2120000,3.3,2016
1800000,3.3,2016
1800000,3.3,2016
1810000,3.3,2016
2615000,3.3,2016
2100000,3.3,2016
1300000,3.3,2016
1370000,3.3,2016
1000000,3.3,2016
2575000,3.3,2016
1322500,3.3,2016
1562500,3.3,2016
2000000,3.3,2016
1900000,3.3,2017
3010000,3.3,2017
2800000,3.3,2016
647000,3.3,2016
2100000,3.3,2016
2000000,3.3,2016
442500,3.3,2017
4735000,3.3,2017
1340000,3.3,2017
1801000,3.3,2017
1532000,3.3,2016
3755000,3.3,2016
2140000,3.3,2016
1750000,3.3,2016
980000,3.3,2016
2030000,3.3,2016
1740000,3.3,2016
2800000,3.3,2016
985000,3.3,2016
2000000,6.4,2016
1110000,6.4,2016
1492000,6.4,2017
1717500,6.4,2016
2840000,6.4,2016
525500,6.4,2016
805000,6.4,2016
465000,6.4,2016
2000000,6.4,2016
1540000,6.4,2016
820000,6.4,2017
1830000,6.4,2016
2100000,6.4,2016
