Type,Year,,Type1,Year1,Number_of_Houses
House,2016,,House_2016,2016,4169
House,2016,,Unit_2016,2016,1631
House,2017,,Townhouse_2016,2016,536
House,2017,,House_2017,2017,5280
House,2016,,Unit_2017,2017,1386
House,2016,,Townhouse_2017,2017,578
House,2016,,,,
House,2016,,,,
Unit,2016,,,,
House,2016,,,,
Unit,2016,,,,
House,2016,,,,
Unit,2016,,,,
House,2016,,,,
Unit,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
House,2017,,,,
Townhouse,2017,,,,
Unit,2017,,,,
Unit,2016,,,,
House,2016,,,,
House,2016,,,,
Unit,2016,,,,
House,2016,,,,
Unit,2016,,,,
House,2016,,,,
House,2016,,,,
House,2017,,,,
House,2017,,,,
Unit,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
Townhouse,2016,,,,
House,2016,,,,
House,2017,,,,
House,2017,,,,
Townhouse,2017,,,,
House,2017,,,,
Unit,2017,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
Townhouse,2016,,,,
Unit,2016,,,,
Unit,2016,,,,
House,2016,,,,
House,2016,,,,
Unit,2017,,,,
Unit,2016,,,,
House,2016,,,,
Townhouse,2016,,,,
House,2016,,,,
Unit,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
House,2017,,,,
House,2017,,,,
House,2017,,,,
Townhouse,2016,,,,
Townhouse,2016,,,,
House,2016,,,,
House,2016,,,,
Unit,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
House,2017,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
House,2017,,,,
House,2017,,,,
House,2017,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
Townhouse,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
House,2017,,,,
House,2017,,,,
House,2016,,,,
Unit,2016,,,,
House,2016,,,,
House,2016,,,,
Unit,2017,,,,
House,2017,,,,
House,2017,,,,
House,2017,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
House,2017,,,,
House,2016,,,,
House,2016,,,,
Unit,2016,,,,
Townhouse,2016,,,,
Unit,2016,,,,
House,2016,,,,
House,2016,,,,
Unit,2017,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
Unit,2016,,,,
Townhouse,2016,,,,
Unit,2017,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
Townhouse,2016,,,,
House,2017,,,,
House,2016,,,,
House,2016,,,,
Unit,2016,,,,
Unit,2016,,,,
House,2016,,,,
House,2016,,,,
Unit,2016,,,,
House,2016,,,,
Townhouse,2016,,,,
Unit,2016,,,,
House,2016,,,,
Unit,2016,,,,
Unit,2016,,,,
Townhouse,2017,,,,
Unit,2017,,,,
Unit,2017,,,,
House,2017,,,,
Townhouse,2016,,,,
Unit,2016,,,,
House,2016,,,,
Unit,2016,,,,
Unit,2016,,,,
Unit,2016,,,,
House,2016,,,,
Unit,2016,,,,
House,2016,,,,
House,2017,,,,
House,2016,,,,
Townhouse,2016,,,,
House,2016,,,,
Unit,2016,,,,
House,2017,,,,
Unit,2017,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
Unit,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
House,2017,,,,
Townhouse,2017,,,,
House,2017,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
Townhouse,2017,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
House,2017,,,,
House,2017,,,,
House,2016,,,,
Townhouse,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
Unit,2016,,,,
Unit,2016,,,,
Unit,2016,,,,
Unit,2016,,,,
Townhouse,2016,,,,
House,2016,,,,
Unit,2016,,,,
House,2017,,,,
Unit,2017,,,,
Townhouse,2017,,,,
Unit,2017,,,,
House,2017,,,,
Unit,2016,,,,
Unit,2016,,,,
House,2016,,,,
House,2016,,,,
Unit,2016,,,,
Unit,2016,,,,
Townhouse,2016,,,,
Unit,2016,,,,
House,2016,,,,
Unit,2016,,,,
Unit,2016,,,,
House,2016,,,,
Unit,2016,,,,
House,2016,,,,
House,2016,,,,
Unit,2016,,,,
House,2016,,,,
House,2016,,,,
Unit,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
House,2017,,,,
House,2017,,,,
Unit,2017,,,,
Unit,2016,,,,
House,2016,,,,
House,2016,,,,
Unit,2016,,,,
Unit,2016,,,,
Unit,2016,,,,
House,2016,,,,
Unit,2016,,,,
Unit,2016,,,,
Unit,2017,,,,
Unit,2017,,,,
Unit,2017,,,,
House,2017,,,,
House,2017,,,,
Unit,2016,,,,
House,2016,,,,
House,2016,,,,
Townhouse,2016,,,,
House,2016,,,,
House,2016,,,,
Unit,2016,,,,
House,2016,,,,
Unit,2016,,,,
Unit,2016,,,,
Unit,2016,,,,
Unit,2016,,,,
Unit,2016,,,,
House,2016,,,,
Unit,2016,,,,
House,2017,,,,
Unit,2017,,,,
House,2017,,,,
House,2017,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
Unit,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
House,2017,,,,
House,2017,,,,
Unit,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
Unit,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
Unit,2016,,,,
House,2016,,,,
House,2016,,,,
Unit,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
House,2017,,,,
House,2017,,,,
House,2017,,,,
Townhouse,2017,,,,
Townhouse,2016,,,,
Unit,2016,,,,
Unit,2016,,,,
House,2016,,,,
Townhouse,2016,,,,
Unit,2016,,,,
House,2016,,,,
House,2016,,,,
Unit,2016,,,,
Unit,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
Unit,2016,,,,
Unit,2017,,,,
House,2017,,,,
House,2017,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
Unit,2016,,,,
Townhouse,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
Unit,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
Townhouse,2016,,,,
Townhouse,2016,,,,
Unit,2017,,,,
House,2017,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
House,2017,,,,
Townhouse,2016,,,,
Townhouse,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
House,2017,,,,
House,2017,,,,
House,2016,,,,
House,2016,,,,
Townhouse,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
Townhouse,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
Unit,2017,,,,
House,2017,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
Townhouse,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
Unit,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
Unit,2017,,,,
Unit,2016,,,,
House,2016,,,,
House,2016,,,,
Unit,2016,,,,
House,2016,,,,
House,2016,,,,
House,2017,,,,
House,2017,,,,
Townhouse,2016,,,,
House,2016,,,,
Townhouse,2016,,,,
House,2016,,,,
House,2016,,,,
Townhouse,2016,,,,
House,2017,,,,
House,2017,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
Townhouse,2016,,,,
House,2016,,,,
House,2016,,,,
Townhouse,2017,,,,
House,2016,,,,
House,2016,,,,
Unit,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
Unit,2017,,,,
House,2017,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
Unit,2016,,,,
Townhouse,2016,,,,
House,2017,,,,
House,2017,,,,
House,2017,,,,
House,2016,,,,
House,2016,,,,
Unit,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
Unit,2016,,,,
Unit,2016,,,,
Townhouse,2016,,,,
Unit,2016,,,,
Unit,2016,,,,
Unit,2016,,,,
House,2016,,,,
Unit,2016,,,,
Unit,2016,,,,
Unit,2016,,,,
House,2017,,,,
House,2017,,,,
Unit,2016,,,,
House,2016,,,,
Unit,2016,,,,
Unit,2016,,,,
House,2016,,,,
House,2016,,,,
Townhouse,2016,,,,
Unit,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
Unit,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
Unit,2017,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
Unit,2016,,,,
House,2016,,,,
House,2016,,,,
Unit,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
Unit,2016,,,,
Unit,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
Townhouse,2016,,,,
House,2016,,,,
Townhouse,2016,,,,
House,2016,,,,
House,2016,,,,
Townhouse,2016,,,,
House,2016,,,,
Unit,2016,,,,
Townhouse,2016,,,,
House,2016,,,,
House,2016,,,,
House,2016,,,,
Unit,2016,,,,
House,2016,,,,
Unit,2016,,,,
House,2016,,,,
Townhouse,2016,,,,
House,2016,,,,
House,2016,,,,
